pk_report_stock_balance,sort_key_report_stock_balance,c_des1,c_des2,diff_day,docno,first_recdate,GSI_ItemDate_Doc,GSI_PreEvent2,GSI_Wh_Prein_Item_Date_Doc,GSI_Whcode,itemcode,itemno,maincode,pre_event2,qtybal,qtyin,qtyout,seriesno,unitname,whcode
MG1#2021140#I-2021140-00001#2#1#B1000104700000,MG1#2021140#I-2021140-00001#2#1#B1000104700000,ตะกร้าเอกสาร,,1512,I-2021140-00001,2021-08-04,B1000104700000#2021-08-04#I-2021140-00001#2#1,2021140,2021140#B1000104700000#2021-08-04#I-2021140-00001#2#1,010101,B1000104700000,2,MG1,2021140,1,5,4,1,อัน,010101
MG1#2021181#I-2021181-00004#2#1#P2400101301100,MG1#2021181#I-2021181-00004#2#1#P2400101301100,น้ำยาล้าง,น้ำยากำจัดปลวก เชล์ไดร,1143,I-2021181-00004,2022-08-08,P2400101301100#2022-08-08#I-2021181-00004#2#1,2021181,2021181#P2400101301100#2022-08-08#I-2021181-00004#2#1,001,P2400101301100,2,MG1,2021181,1,10,9,1,ถัง,001
MG1#2021061#I-2021061-00004#1#1#P2000100400100,MG1#2021061#I-2021061-00004#1#1#P2000100400100,หิน,เบอร์ 1,1309,I-2021061-00004,2022-02-23,P2000100400100#2022-02-23#I-2021061-00004#1#1,2021061,2021061#P2000100400100#2022-02-23#I-2021061-00004#1#1,W001,P2000100400100,1,MG1,2021061,2,2,0,1,ลบ.ม.,W001
MG1#2021005#T-2021092-00006#1#1#P2000100100000,MG1#2021005#T-2021092-00006#1#1#P2000100100000,ดินถม,เนื้อละเอียด,1643,T-2021092-00006,2021-03-26,P2000100100000#2021-03-26#T-2021092-00006#1#1,2021005,2021005#P2000100100000#2021-03-26#T-2021092-00006#1#1,002,P2000100100000,1,MG1,2021005,2,2,0,1,ลบ.ม.,002
MG2#2022001#I-2022001-00015#1#1#P2000100100000,MG2#2022001#I-2022001-00015#1#1#P2000100100000,ดินถม,,454,I-2022001-00015,2024-06-27,P2000100100000#2024-06-27#I-2022001-00015#1#1,2022001,2022001#P2000100100000#2024-06-27#I-2022001-00015#1#1,WH-002,P2000100100000,1,MG2,2022001,2,2,0,1,ลบ.ม.,WH-002
MG3#2022001#I-2022001-00006#4#1#P3801000200300,MG3#2022001#I-2022001-00006#4#1#P3801000200300,Matix เต้ารับ,เดี่ยวแบน 3P ม่าน AM5028TS,950,I-2022001-00006,2023-02-17,P3801000200300#2023-02-17#I-2022001-00006#4#1,2022001,2022001#P3801000200300#2023-02-17#I-2022001-00006#4#1,001,P3801000200300,4,MG3,2022001,2,2,0,1,ตัว,001
MG1#2021005#T-2021005-00019#1#1#P1100100300400,MG1#2021005#T-2021005-00019#1#1#P1100100300400,เหล็กฉาก,L-25x25x2.3mm.,1720,T-2021005-00019,2021-01-08,P1100100300400#2021-01-08#T-2021005-00019#1#1,2021005,2021005#P1100100300400#2021-01-08#T-2021005-00019#1#1,001,P1100100300400,1,MG1,2021005,2,2,0,1,เส้น,001
MG1#2021092#I-2021092-00044#1#1#P2000101500000,MG1#2021092#I-2021092-00044#1#1#P2000101500000,ทรายถม,,1591,I-2021092-00044,2021-05-17,P2000101500000#2021-05-17#I-2021092-00044#1#1,2021092,2021092#P2000101500000#2021-05-17#I-2021092-00044#1#1,001,P2000101500000,1,MG1,2021092,2,2,0,1,ลบ.ม.,001
MG1#2021093#I-2021093-00512#1#1#P2000100100000,MG1#2021093#I-2021093-00512#1#1#P2000100100000,ดินถม,เนื้อละเอียด,538,I-2021093-00512,2024-04-04,P2000100100000#2024-04-04#I-2021093-00512#1#1,2021093,2021093#P2000100100000#2024-04-04#I-2021093-00512#1#1,003,P2000100100000,1,MG1,2021093,2,2,0,1,ลบ.ม.,003
MG1#2021031#I-2021031-00003#9#1#P1000100300400,MG1#2021031#I-2021031-00003#9#1#P1000100300400,คอนกรีต,Strenght 280 ksc. Cyl,1118,I-2021031-00003,2022-09-02,P1000100300400#2022-09-02#I-2021031-00003#9#1,2021031,2021031#P1000100300400#2022-09-02#I-2021031-00003#9#1,001,P1000100300400,9,MG1,2021031,2,2,0,1,ลบ.ม.,001
MG5#2021004#I-2021004-00017#5#1#PS030020300101,MG5#2021004#I-2021004-00017#5#1#PS030020300101,วัสดุรายการที่ 3,SN = N,1056,I-2021004-00017,2022-11-03,PS030020300101#2022-11-03#I-2021004-00017#5#1,2021004,2021004#PS030020300101#2022-11-03#I-2021004-00017#5#1,001,PS030020300101,5,MG5,2021004,3,3,0,1,ครั้ง,001
MG1#2021152#T-2021145-00008#2#1#P2000101100000,MG1#2021152#T-2021145-00008#2#1#P2000101100000,หินกรวด,,1415,T-2021145-00008,2021-11-09,P2000101100000#2021-11-09#T-2021145-00008#2#1,2021152,2021152#P2000101100000#2021-11-09#T-2021145-00008#2#1,11011001,P2000101100000,2,MG1,2021152,4,4,0,1,ลบ.ม.,11011001
MG1#2019002#I-2019002-00016#2#1#P3500100500000,MG1#2019002#I-2019002-00016#2#1#P3500100500000,อุปกรณ์หลังคา,,755,I-2019002-00016,2023-08-31,P3500100500000#2023-08-31#I-2019002-00016#2#1,2019002,2019002#P3500100500000#2023-08-31#I-2019002-00016#2#1,001,P3500100500000,2,MG1,2019002,4,4,0,1,เมตร,001
MG3#2021001#I-2021001-00067#28#1#P3801000300100,MG3#2021001#I-2021001-00067#28#1#P3801000300100,Matix ไฟสัญญาณ,สีส้มและใส AM5062B,357,I-2021001-00067,2024-10-02,P3801000300100#2024-10-02#I-2021001-00067#28#1,2021001,2021001#P3801000300100#2024-10-02#I-2021001-00067#28#1,SITE,P3801000300100,28,MG3,2021001,5,5,0,1,ตัว,SITE
MG1#2021154#T-2021161-00002#1#1#P2000100200000,MG1#2021154#T-2021161-00002#1#1#P2000100200000,ดินปนทราย,,1483,T-2021161-00002,2021-09-02,P2000100200000#2021-09-02#T-2021161-00002#1#1,2021154,2021154#P2000100200000#2021-09-02#T-2021161-00002#1#1,S1,P2000100200000,1,MG1,2021154,5,5,0,1,ลบ.ม.,S1
MG3#2021001#I-2021001-00067#23#1#P3801000300100,MG3#2021001#I-2021001-00067#23#1#P3801000300100,Matix ไฟสัญญาณ,สีส้มและใส AM5062B,357,I-2021001-00067,2024-10-02,P3801000300100#2024-10-02#I-2021001-00067#23#1,2021001,2021001#P3801000300100#2024-10-02#I-2021001-00067#23#1,SITE,P3801000300100,23,MG3,2021001,5,5,0,1,ตัว,SITE
MG2#2021003#I-2021003-00001#1#1#A1050104400000,MG2#2021003#I-2021003-00001#1#1#A1050104400000,นั่งร้าน,,1630,I-2021003-00001,2021-04-08,A1050104400000#2021-04-08#I-2021003-00001#1#1,2021003,2021003#A1050104400000#2021-04-08#I-2021003-00001#1#1,W001,A1050104400000,1,MG2,2021003,5,5,0,1,EA,W001
MG1#2021162#I-2021162-00024#2#1#P3100100100100,MG1#2021162#I-2021162-00024#2#1#P3100100100100,กระเบื้องแกรนิตโต้,ขนาด 30x30 ซม.,1423,I-2021162-00024,2021-11-01,P3100100100100#2021-11-01#I-2021162-00024#2#1,2021162,2021162#P3100100100100#2021-11-01#I-2021162-00024#2#1,001,P3100100100100,2,MG1,2021162,5,5,0,1,แผ่น12345,001
MG2#2021003#I-2021003-00004#2#1#P1100100101000,MG2#2021003#I-2021003-00004#2#1#P1100100101000,เหล็กท่อดำ,21.7x3.2 mm.,1630,I-2021003-00004,2021-04-08,P1100100101000#2021-04-08#I-2021003-00004#2#1,2021003,2021003#P1100100101000#2021-04-08#I-2021003-00004#2#1,W001,P1100100101000,2,MG2,2021003,5,5,0,1,เส้น,W001
MG1#2023077#T-2021093-00062#1#1#P2100100100100,MG1#2023077#T-2021093-00062#1#1#P2100100100100,ไม้ยูคาลิปตัส,"""ขนาด 1 1/2""""ยาว 2.50 ม.""",793,T-2021093-00062,2023-07-24,P2100100100100#2023-07-24#T-2021093-00062#1#1,2023077,2023077#P2100100100100#2023-07-24#T-2021093-00062#1#1,001,P2100100100100,1,MG1,2023077,5,5,0,1,ท่อน,001
MG5#2021006#I-2021006-00013#1#1#P2300100200102,MG5#2021006#I-2021006-00013#1#1#P2300100200102,ข้อต่อ,ข้อต่อ,1057,I-2021006-00013,2022-11-02,P2300100200102#2022-11-02#I-2021006-00013#1#1,2021006,2021006#P2300100200102#2022-11-02#I-2021006-00013#1#1,W1,P2300100200102,1,MG5,2021006,5,5,0,1,กล่อง,W1
MG1#2021093#I-2021093-00606#1#1#10100010200202,MG1#2021093#I-2021093-00606#1#1#10100010200202,ฝ้าแขวน,แบบสี่เหลี่ยม,77,I-2021093-00606,2025-07-09,10100010200202#2025-07-09#I-2021093-00606#1#1,2021093,2021093#10100010200202#2025-07-09#I-2021093-00606#1#1,001,10100010200202,1,MG1,2021093,5,5,0,1,แผ่น12345,001
MG1#2021011#I-2021011-00001#5#1#A1050101800000,MG1#2021011#I-2021011-00001#5#1#A1050101800000,เครื่องเจียร์มือ,,839,I-2021011-00001,2023-06-08,A1050101800000#2023-06-08#I-2021011-00001#5#1,2021011,2021011#A1050101800000#2023-06-08#I-2021011-00001#5#1,001,A1050101800000,5,MG1,2021011,6,6,0,1,เครื่อง,001
MG2#2021002#I-2021002-00004#4#1#P1050100100400,MG2#2021002#I-2021002-00004#4#1#P1050100100400,เหล็กเส้นกลม,SR 24 RB12mm. ยาว 12.00 m.,1692,I-2021002-00004,2021-02-05,P1050100100400#2021-02-05#I-2021002-00004#4#1,2021002,2021002#P1050100100400#2021-02-05#I-2021002-00004#4#1,001,P1050100100400,4,MG2,2021002,10,10,0,1,เส้น,001
MG1#2023030#I-2023030-00002#1#1#P1050100100100,MG1#2023030#I-2023030-00002#1#1#P1050100100100,เหล็กเส้นกลม test,SR 24 RB6 mm. ยาว 10.00 m.,919,I-2023030-00002,2023-03-20,P1050100100100#2023-03-20#I-2023030-00002#1#1,2023030,2023030#P1050100100100#2023-03-20#I-2023030-00002#1#1,001,P1050100100100,1,MG1,2023030,10,10,0,1,เส้น,001
MG1#2021182#T-2021162-00015#1#1#A1000100100000,MG1#2021182#T-2021162-00015#1#1#A1000100100000,ที่ดิน,ที่ดิน (Spec),1423,T-2021162-00015,2021-11-01,A1000100100000#2021-11-01#T-2021162-00015#1#1,2021182,2021182#A1000100100000#2021-11-01#T-2021162-00015#1#1,WH001,A1000100100000,1,MG1,2021182,10,10,0,1,ไร่,WH001
MG1#2021035#I-2021035-00011#2#1#P1000100100003,MG1#2021035#I-2021035-00011#2#1#P1000100100003,คอนกรีตหยาบ1คอนกรีตหยาบ2คอนกรีตหยาบ3คอนกรีตหยาบ4คอนกรีตหยาบ5คอนกรีตหยาบ6,1111122222333334444455555666667777788888999991010101010,1163,I-2021035-00011,2022-07-19,P1000100100003#2022-07-19#I-2021035-00011#2#1,2021035,2021035#P1000100100003#2022-07-19#I-2021035-00011#2#1,001,P1000100100003,2,MG1,2021035,10,10,0,1,ก้อน,001
